Ref,Val,Package,PosX,PosY,Rot,Side
"C1","27pF","c_0402",-11.074400,5.588000,180.000000,top
"C2","27pF","c_0402",-17.627600,4.572000,270.000000,top
"C3","0.1uF","c_0402",-14.020800,1.524000,0.000000,top
"C4","0.1uF","c_0402",-14.020800,0.000000,180.000000,top
"C5","0.1uF","c_0402",-11.074400,4.368800,0.000000,top
"C6","0.1uF","c_0402",-6.477000,-3.556000,180.000000,top
"C7","0.1uF","c_0402",-4.800600,2.641600,270.000000,top
"C8","4.7uF","c_0603",-4.572000,-5.588000,180.000000,top
"C9","0.01uF","c_0402",-3.810000,-1.168400,180.000000,top
"C10","4.7uF","c_0603",-1.778000,-5.588000,0.000000,top
"C11","0.1uF","c_0402",-20.320000,-5.130800,270.000000,top
"D1","LED","LED0603",-7.366000,-5.689600,0.000000,top
"R1","510","r_0402",-9.931400,-5.740400,0.000000,top
"U1","STM32F103TB","QFN36",-8.788400,0.381000,0.000000,top
"U2","LP2985-33DBVR","SOT23-5",-3.149600,-3.175000,90.000000,top
"U3","NUF2221W1","SOT363",-2.387600,0.812800,270.000000,top
"U4","SST25VF032B","WSON8",-16.383000,-3.810000,0.000000,top
"X1","12MHz","ABM8G",-15.113000,4.572000,180.000000,top
